"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
02.08.2020,Омская обл.,6990,4450,68,0,108,6
15.11.2021,Саратовская обл.,110924,96181,4252,26,637,472
02.12.2020,Самарская обл.,22873,20332,432,4,263,255
22.10.2021,Тыва,27959,24517,282,0,68,90
18.07.2020,Татарстан,5186,4135,19,1,29,62
14.09.2020,Томская обл.,6421,5231,76,0,52,31
25.08.2020,Томская обл.,5371,4261,62,3,40,28
30.09.2021,Свердловская обл.,138929,128016,6290,43,526,475
09.07.2020,Татарстан,4893,3808,15,1,35,10
14.12.2020,Самарская обл.,26219,24044,500,4,295,277
01.10.2020,Оренбургская обл.,12963,11698,85,0,109,108
08.09.2021,Красноярский край,108238,94803,5350,24,374,399
26.06.2020,Кемеровская обл.,1488,683,9,0,34,32
31.08.2021,Нижегородская обл.,156052,143226,5841,29,409,508
04.10.2020,Ненецкий АО,338,132,0,0,2,0
14.08.2020,Омская обл.,8281,6024,111,5,106,111
06.10.2021,Санкт-Петербург,634234,589270,22200,55,2187,1675
10.11.2020,Курганская обл.,6711,5406,105,1,93,225
17.04.2020,Тамбовская обл.,133,8,0,0,0,2
26.06.2020,Курская обл.,4817,2778,31,1,70,36
01.08.2021,Севастополь,20960,18242,857,5,159,90
01.02.2021,Ульяновская обл.,43958,40304,625,0,179,167
17.01.2021,Кировская обл.,29561,23393,251,1,232,229
01.06.2020,Челябинская обл.,2929,1323,18,2,134,65
14.02.2021,Ленинградская обл.,33593,30357,502,5,190,97
29.08.2021,Псковская обл.,46715,40159,675,4,99,78
22.06.2020,Иркутская обл.,5528,1778,40,0,194,80
27.04.2020,Тыва,30,0,0,0,3,0
04.07.2020,Краснодарский край,6218,4978,81,0,59,67
17.04.2021,Московская обл.,242048,199232,5645,15,586,541
25.12.2020,Новгородская обл.,17051,12540,99,0,207,242
04.07.2021,Архангельская обл.,68023,65004,1051,3,221,156
20.09.2020,Магаданская обл.,2556,2002,24,1,34,31
04.08.2021,Чукотский АО,1194,884,9,0,15,5
22.01.2021,Пензенская обл.,30689,24300,363,2,228,148
18.11.2020,Астраханская обл.,11938,8524,218,3,141,75
23.12.2020,Калужская обл.,19690,18392,153,3,173,165
09.06.2021,Ростовская обл.,95618,86825,4540,11,154,290
11.09.2021,Мордовия,26779,23192,511,3,68,52
15.09.2021,Брянская обл.,62899,58573,1286,11,152,139
24.04.2020,Тульская обл.,505,53,3,0,44,0
31.05.2021,Алтайский край,51640,46552,2301,8,59,54
14.02.2021,Амурская обл.,20401,18805,151,2,36,33
12.01.2021,Белгородская обл.,24043,21397,285,3,176,347
19.03.2020,Ярославская обл.,1,0,0,0,0,0
31.07.2021,Забайкальский край,56307,50484,939,8,285,271
28.04.2021,Орловская обл.,34022,31931,568,4,54,65
09.06.2021,Тульская обл.,40616,38054,2086,6,56,15
04.06.2020,Алтайский край,2135,899,12,0,69,33
25.03.2021,Хакасия,21751,21018,499,0,21,38
04.06.2021,Карелия,47492,45749,558,1,57,41
12.02.2021,Карачаево-Черкессия,18302,16643,60,0,55,54
04.04.2021,Ивановская обл.,32815,31432,1054,3,64,124
31.08.2021,Москва,1567538,1446708,27445,44,1162,1914
30.11.2020,Чувашия,12563,11519,278,6,114,23
07.08.2021,Марий Эл,16505,14911,401,2,60,41
22.10.2021,Костромская обл.,36942,30589,853,2,173,186
03.12.2020,ХМАО – Югра,34994,29950,425,5,220,253
03.12.2020,Калининградская обл.,12037,8925,120,3,191,391
29.04.2021,Сахалинская обл.,22515,22088,41,0,18,12
07.08.2020,Ямало-Ненецкий АО,11712,10138,79,0,91,329
03.10.2021,Волгоградская обл.,93148,82962,2858,25,364,317
18.04.2021,Тверская обл.,39037,37100,817,7,81,88
25.10.2020,Хабаровский край,15039,11010,124,0,179,0
29.11.2020,Кабардино-Балкария,12620,9901,210,3,93,128
29.06.2021,Тамбовская обл.,34715,33141,603,3,74,39
21.03.2021,Ингушетия,15018,13281,180,0,11,0
29.05.2021,Челябинская обл.,61657,57328,1621,9,88,85
16.09.2021,Удмуртия,49971,41064,1789,10,228,136
26.11.2020,Еврейская АО,2840,1808,48,0,28,40
30.09.2021,Пермский край,101558,89747,4857,29,488,412
20.03.2021,Ярославская обл.,35080,33632,462,2,100,74
11.03.2021,Калмыкия,19357,18478,303,1,32,51
07.05.2020,Ростовская обл.,1514,195,12,0,80,27
20.01.2021,Смоленская обл.,20309,16484,403,8,181,473
07.09.2021,Мурманская обл.,69184,53563,1889,8,139,65
08.11.2021,Воронежская обл.,160626,120220,5121,41,799,133
15.02.2021,Новосибирская обл.,34191,31909,1338,8,123,41
24.08.2021,Владимирская обл.,47960,43991,1640,12,183,155
26.04.2020,Архангельская обл.,167,22,1,0,20,4
04.07.2021,Карачаево-Черкессия,20998,20387,188,2,29,3
26.08.2020,Рязанская обл.,7019,6167,42,0,26,21
15.07.2021,Саратовская обл.,69181,64894,1522,14,227,177
02.10.2021,Северная Осетия,23086,20725,628,4,72,115
19.05.2020,Чечня,986,612,11,1,20,30
18.07.2020,Тюменская обл.,4560,2968,22,0,109,101
03.09.2020,Вологодская обл.,3486,3011,38,0,36,44
16.07.2021,Дагестан,38705,34735,1607,7,198,160
09.07.2021,Липецкая обл.,34663,30770,956,8,168,44
08.12.2020,Приморский край,23791,16598,267,5,240,149
18.08.2020,Башкортостан,7367,6491,26,0,34,121
24.08.2021,Адыгея,17675,15879,322,2,58,18
04.10.2021,Камчатский край,19882,15619,358,4,40,15
13.11.2020,Саха (Якутия),16291,9863,196,6,216,136
24.04.2021,Калининградская обл.,31458,29534,387,2,62,70
12.11.2021,Бурятия,65333,58109,2053,6,207,364
10.07.2020,Ярославская обл.,5190,4214,22,0,43,74
07.06.2021,Тульская обл.,40506,37989,2074,6,55,53
06.06.2020,Алтайский край,2255,1061,14,1,63,95
24.12.2020,Хакасия,16378,13335,232,2,178,173
26.02.2021,Воронежская обл.,67276,61108,1891,9,298,326
22.12.2020,Мурманская обл.,33667,30847,599,4,278,271
03.11.2021,Новосибирская обл.,72014,54262,3421,12,368,183
04.12.2020,Владимирская обл.,13801,12186,338,3,145,137
26.09.2021,Смоленская обл.,49285,43960,1685,11,184,103
30.04.2021,Орловская обл.,34125,32058,575,4,52,65
